turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
21315,Input,7.35677089205741e-05,0.009878396965023833,1.8213982632092217e-05,0.009810221932891697,4.996104950003926e-05,0.07323458643087044,0.06797967520297225,0.005254911227898211,0.12390988877027691,5.253877311437928e-06,1.3805614328254177e-05,0.00012977020860386468,9.173284307794344e-11,7.851507988458644e-11,1.3217763193357504e-11,5.650454641993199e-10,5.430199594431356e-10,2.202550475618437e-11,0.0006424210830175618,0.8280427960063453,4.4403085648286587e-07,1.4146375023264843e-10,1.0260932981973732e-09,5.5749075486363136e-05,0.005335679526529307
21316,Input,7.364058668924575e-05,0.009879819238249763,1.8217448378173686e-05,0.009811638649147286,4.996314072430032e-05,0.07331685153646762,0.06806148643273473,0.0052553651037329395,0.12393598869805802,5.25953740402172e-06,1.3809577781511382e-05,0.00012982335395811428,9.174587470557286e-11,7.85277305366873e-11,1.3218144168886073e-11,5.659836432175917e-10,5.439127912205188e-10,2.2070851997073088e-11,0.0006425359651336694,0.8280661627722108,4.449414948412577e-07,1.415706242205274e-10,1.02627689847021e-09,5.5764685249249884e-05,0.0053366387986515705
21317,Input,7.345194907459558e-05,0.009876137810653792,1.8208477603056556e-05,0.009807971605274215,4.9957727776518096e-05,0.07310391563610114,0.06784972534955008,0.005254190286551086,0.1238684313591203,5.244886758383597e-06,1.3799318735689254e-05,0.0001296857919410806,9.171214349788317e-11,7.849498545022853e-11,1.3217158047655145e-11,5.635552503709473e-10,5.41601775668873e-10,2.1953474702074458e-11,0.0006422386030060478,0.8280056799795117,4.42584388540296e-07,1.41293990419725e-10,1.0258016655130497e-09,5.572428076802218e-05,0.005334155808183525
21318,Input,7.352713515364881e-05,0.00987760513257033,1.821205312222529e-05,0.00980943319421046,4.995988523764068e-05,0.07318878638400535,0.06793412784568133,0.005254658538324051,0.12389535796882865,5.250726127181658e-06,1.3803407726273789e-05,0.00012974062060664974,9.172558788569852e-11,7.85080367956013e-11,1.3217551090097726e-11,5.645231450131623e-10,5.425228867541755e-10,2.2000258258986943e-11,0.000642357123866674,0.8280297868578862,4.4352387020735197e-07,1.4140424950487353e-10,1.0259910810903834e-09,5.574038495024122e-05,0.0053351454640269
21319,Input,7.333598082372687e-05,0.009873874589080534,1.8202962663201117e-05,0.0098057172263445,4.995440007282808e-05,0.07297300959194633,0.0677195415446683,0.005253468047278061,0.12382689931131274,5.2358800194471374e-06,1.3793011809036367e-05,0.00012960122330119957,9.169140665193271e-11,7.8474854839437e-11,1.3216551812496226e-11,5.620623536792153e-10,5.401810387084754e-10,2.1881314970740204e-11,0.0006420557944719236,0.8279684971319129,4.4113531649100694e-07,1.4112392498463293e-10,1.0255095077962593e-09,5.569944141122726e-05,0.0053326293466554936
21320,Input,7.341331012227235e-05,0.009875383737794965,1.8206640104460662e-05,0.009807220478656963,4.9956619033536624e-05,0.07306029962602055,0.06780634997920172,0.0052539496468188545,0.12385459347846675,5.241885842583396e-06,1.3797217358489707e-05,0.00012965761488727557,9.170523427923055e-11,7.848827822040671e-11,1.3216956058824353e-11,5.630578386771155e-10,5.411284065590916e-10,2.1929432118024134e-11,0.0006421776938332235,0.8279932911897796,4.4210157858665833e-07,1.4123732706411584e-10,1.0257043227661744e-09,5.571600465179426e-05,0.00533364721316926
21321,Input,7.321975850952885e-05,0.009871606409239788,1.8197435641211383e-05,0.00980345790851977,4.995106507880237e-05,0.07284181675873368,0.06758907253301101,0.005252744225722705,0.12378527627506433,5.226853548540391e-06,1.3786691065163932e-05,0.00012951646938828007,9.167062437568487e-11,7.845468012648853e-11,1.3215944249196877e-11,5.605661863483131e-10,5.387571891964998e-10,2.180899715181346e-11,0.0006418725854407284,0.8279312328241041,4.396830698136063e-07,1.4095348697006055e-10,1.0252167100201277e-09,5.567454763635122e-05,0.005331099540954424
21322,Input,7.348197010978875e-05,0.009876723697342537,1.8209905271424824e-05,0.009808555202842347,4.995858922875905e-05,0.07313780366087631,0.06788342640616396,0.00525437725471238,0.12387918287998516,5.247218358839426e-06,1.3800951427961397e-05,0.00012970768446851885,9.171751170493477e-11,7.850019671943806e-11,1.3217314985497228e-11,5.639417208383945e-10,5.419695659387861e-10,2.1972154899608598e-11,0.0006422859271779263,0.828015305610389,4.429595139963005e-07,1.4133801574884568e-10,1.0258772972228672e-09,5.573071100387491e-05,0.00533455096767684
21323,Input,7.32949170958883e-05,0.009873073194612423,1.820100985294854e-05,0.009804918963008448,4.9953221751023354e-05,0.0729266564726285,0.06767344416635476,0.005253212306273781,0.12381219303873407,5.232690782103043e-06,1.3790778560559894e-05,0.00012957127800508844,9.168406384739819e-11,7.846772669947992e-11,1.3216337147918764e-11,5.61533727068215e-10,5.396779634664593e-10,2.1855763601755875e-11,0.0006419910629627769,0.8279553308875087,4.4062220794789503e-07,1.4106370573764892e-10,1.0254060563353778e-09,5.5690645929882414e-05,0.005332088834918242
21324,Input,7.336956417885687e-05,0.009874529997550209,1.8204559739834578e-05,0.009806370074064692,4.9955363745677776e-05,0.07301091879672077,0.06775724159549057,0.005253677201230226,0.12383892661620308,5.238488289469324e-06,1.3794838237873367e-05,0.00012962571361337303,9.169741185470686e-11,7.848068448199978e-11,1.3216727372707594e-11,5.624946830400126e-10,5.40592471264627e-10,2.1902211775385703e-11,0.0006421087341677137,0.8279792649478134,4.415549546322715e-07,1.4117317439435717e-10,1.0255941140249768e-09,5.570663466398564e-05,0.0053330713960888865
