,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
21315,0,1092519.9018892262,1368687.8309712468,735123.3089379114,50000.0,22138.79738111014,0.0
21316,0,1092402.0546789558,1368576.721866257,735188.2284814988,50000.0,22223.770454985286,0.0
21317,0,1092648.9842343854,1368818.542388339,735234.8396509285,50000.0,22003.82521986812,0.0
21318,0,1092529.317686517,1368705.4508530449,735295.3577086976,50000.0,22091.48970749202,0.0
21319,0,1092780.0334479902,1368950.8635831848,735340.3492001734,50000.0,21868.61006539987,0.0
21320,0,1092657.354834091,1368834.8832607884,735401.5422589428,50000.0,21958.773476242273,0.0
21321,0,1092910.8725692753,1369083.0823194357,735447.9315612616,50000.0,21733.09868147175,0.0
21322,0,1092545.6605162332,1368730.0783575436,735473.4154941799,50000.0,22038.828756444156,0.0
21323,0,1092790.6817949638,1368969.6300622078,735511.462793069,50000.0,21820.731113521742,0.0
21324,0,1092672.236312341,1368858.0315418835,735578.3775499352,50000.0,21907.767149493575,0.0
21325,0,1092918.835378229,1369099.2266614926,735618.7253419572,50000.0,21687.702310762554,0.0
21326,0,1092800.2753361012,1368987.4632054786,735684.557927428,50000.0,21775.203103019063,0.0
21327,0,1093048.4182298353,1369230.0631863629,735723.0339439022,50000.0,21554.1159541099,0.0
31098,0,1089975.5047417646,1366453.0637023882,739970.0396704209,50000.0,24591.589905315606,0.0
31099,0,1089769.7829641807,1366240.804129809,739707.8871729576,50000.0,24768.241607263284,0.0
31100,0,1088584.4741047614,1365031.0468707306,738477.1564858261,50000.0,25855.92415203015,0.0
31101,0,1088423.1236860573,1364874.2397830733,738474.7926437728,50000.0,26029.71990479212,0.0
31102,0,1088535.5680215422,1364990.3360390184,738619.3889730935,50000.0,25929.981085030482,0.0
36194,0,1085142.1138936782,1361449.782005513,733514.1578154735,50000.0,29134.90315265465,0.0
