,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
20977,0,394394.576694855,533400.0473039858,605602.8017438392,50000.0,6085.638699513106,0.0
20978,0,394222.36604454526,533375.7159055459,605428.4863934823,50000.0,5751.040188945223,0.0
20979,0,393849.4574505376,533442.9819423741,605242.5808758594,50000.0,5291.235750451178,0.0
20980,0,394615.43343397486,532771.609850579,604766.9520470401,50000.0,5187.6978494312525,0.0
20981,0,393095.25257094204,533993.109609523,605532.2512188522,50000.0,5282.421627713791,0.0
20982,0,394141.83204686345,532884.4510311503,604573.5662477957,50000.0,4628.786525986274,0.0
20983,0,395479.6904141834,531647.5768862668,603639.7337937421,50000.0,4463.329776585227,0.0
20984,0,395177.2149886794,531769.8796746543,603596.5473395471,50000.0,4144.63987678483,0.0
20985,0,394759.1497604435,531983.4634679112,603608.4210818353,50000.0,3826.792667771579,0.0
20986,0,393612.3861282397,533943.8902954104,605861.327198282,50000.0,5926.021757262553,0.0
20987,0,394533.6836591275,532632.6345043501,604478.2645339108,50000.0,4765.074906648733,0.0
20988,0,395581.8543045511,532193.8096965909,604599.8126250368,50000.0,5758.051191005987,0.0
20989,0,395916.22028721514,531627.6050443624,603953.4236517027,50000.0,5259.741800228442,0.0
20990,0,392974.8432512255,533876.6579132065,605248.5806769014,50000.0,4904.0421956845785,0.0
23787,0,358704.50960933376,568069.9633219064,633422.5646752124,50000.0,3616.6725129348656,0.0
23788,0,358960.1463926696,568830.5112535284,634811.5493306804,50000.0,1676.1330394497904,0.0
23789,0,359070.6417408862,567727.3185838752,633155.7098814044,50000.0,3693.7056835542658,0.0
23790,0,358241.1620014549,569469.9325892524,635283.1049270272,50000.0,1651.610443846371,0.0
23791,0,358602.88111406076,569160.1413572271,635064.5130432856,50000.0,1600.807487564595,0.0
23792,0,357505.0441451293,570207.9477898083,635896.8266132657,50000.0,1795.340623737462,0.0
23793,0,357866.3302314611,569872.159580115,635637.044908675,50000.0,1636.586339336519,0.0
23794,0,358351.1523611067,568450.7469492675,633759.4222113986,50000.0,3475.9716629700692,0.0
23795,0,356759.37739802455,570587.5701306488,635940.9711860558,50000.0,2688.2700130182225,0.0
23796,0,357391.9192936037,569406.3841472979,634550.509374224,50000.0,3442.6529399203387,0.0
23797,0,357742.92037092143,568955.1831089914,634100.3881863586,50000.0,3621.067586462869,0.0
23915,0,414016.8434250354,603048.2273961831,706642.7063476825,50000.0,5361.069844507357,0.0
23916,0,414440.0534173912,602712.0567018728,706416.2291042213,50000.0,5176.546183502715,0.0
23917,0,415222.3552515061,601986.2178266014,705877.1223722175,50000.0,4797.767887415472,0.0
23918,0,414013.3851170613,602684.8607624433,706221.7797378348,50000.0,4934.134965184821,0.0
23919,0,414441.6265757203,602335.634775753,705982.1683284616,50000.0,4731.596055603022,0.0
23920,0,414877.1841053509,601979.5081420378,705737.417805881,50000.0,4560.767437132248,0.0
23921,0,415296.0594288568,601632.3752959587,705496.7072533163,50000.0,4429.3802810041225,0.0
23922,0,414116.83296229877,602243.9422090482,705751.8993552396,50000.0,4464.265844524529,0.0
23923,0,414522.6099188999,601838.4277288887,705438.6411743808,50000.0,4185.739622338542,0.0
23924,0,414948.9904703192,601465.0433058311,705170.4486472935,50000.0,3993.0761079152544,0.0
23925,0,415344.35823773517,601076.574496248,704872.9606952957,50000.0,3804.392557491364,0.0
23926,0,423007.5746584319,577779.0154546427,680587.8565368183,50000.0,13056.02723778771,0.0
23927,0,421866.6443134991,579428.2011046505,682078.7467057597,50000.0,13152.27721209025,0.0
23928,0,423019.08624877315,578591.3713843201,681561.0100592627,50000.0,13783.199886119792,0.0
23929,0,422213.71670981054,578170.239645717,680723.1339372295,50000.0,12412.736932252854,0.0
23930,0,421628.1992629514,578766.0914568814,681189.7682955464,50000.0,12234.378329066249,0.0
23931,0,422956.0378425459,578274.3039523374,681156.9975428,50000.0,13422.932207529893,0.0
23932,0,421047.2350789416,579659.5425224082,682013.4202516468,50000.0,12386.873513754503,0.0
23933,0,422355.7578331163,578975.8065792047,681743.1446375382,50000.0,13320.86003960725,0.0
23934,0,422572.3281138795,578249.6746837047,680967.6836485452,50000.0,12926.991676309432,0.0
23935,0,422393.6407236775,579313.5278057525,682161.1347965501,50000.0,13683.293852915474,0.0
23936,0,421419.5346706372,579582.270999419,682076.344949707,50000.0,12760.129395128975,0.0
24728,0,402475.35234459484,607411.6911380421,707253.7875156781,50000.0,6188.456425726712,0.0
24729,0,402984.2982432922,606900.3488630385,706855.8918507909,50000.0,5618.312870895863,0.0
24730,0,402422.00545666437,607043.6055317778,706803.6512611235,50000.0,5958.659380219757,0.0
24731,0,401676.8895334156,607353.3801747157,706874.183993003,50000.0,6534.788509699019,0.0
24732,0,402271.49281485425,606743.5608937241,706394.5957771252,50000.0,5854.073447578727,0.0
24733,0,401809.8548613187,606936.1549441111,706438.9173598116,50000.0,6230.188953778222,0.0
24734,0,402835.72813309747,605973.2004029505,705715.6191518672,50000.0,5104.659485428364,0.0
24735,0,402233.6671632254,606350.6864967353,705920.815194782,50000.0,5672.049025910155,0.0
24736,0,401567.38380892936,606701.8371783621,706070.0646262831,50000.0,6278.950376919066,0.0
24737,0,401525.9379297652,608032.9632353152,707608.3145117664,50000.0,7029.391183694283,0.0
25158,0,323612.1984603425,588206.3768068324,637501.3676195934,50000.0,4541.363772685879,0.0
25159,0,322785.9504355991,588861.9141229737,637889.5436293189,50000.0,4257.156847715596,0.0
25160,0,322976.64372730535,588710.6393903798,637800.0337908855,50000.0,4308.053317549824,0.0
25161,0,323200.3879662926,588532.9085652705,637694.5297709574,50000.0,4379.848426230821,0.0
25162,0,323409.58416985284,588366.9801613118,637596.3195861104,50000.0,4457.217316405744,0.0
25163,0,322580.0264752898,589025.5787711765,637986.7560189258,50000.0,4212.070389203353,0.0
25164,0,324057.7862104514,587934.5892625513,637445.6368344065,50000.0,4616.766179128715,0.0
25165,0,323970.09223990754,587949.511461777,637384.0886791229,50000.0,4663.273382875769,0.0
25166,0,323816.2521603376,588045.8082098789,637407.9283268916,50000.0,4632.773938704338,0.0
25167,0,323071.26454474893,589094.9276310377,638619.4154584698,50000.0,3430.932997211722,0.0
26150,0,348812.32802750444,617357.178758573,696510.5294605249,50000.0,19451.876374010106,0.0
26151,0,348029.4181409321,617868.3255838117,696793.1092745569,50000.0,19372.852537983264,0.0
26152,0,349238.22035693197,617152.4009729759,696450.1208291375,50000.0,19407.63680146245,0.0
26153,0,348018.82705718075,617632.676562809,696487.6834952843,50000.0,19710.153597147135,0.0
26154,0,348520.17462500156,617308.5036330844,696310.846338784,50000.0,19750.732816516043,0.0
26155,0,349039.965914523,616965.6590730743,696118.9168768532,50000.0,19815.877534409112,0.0
26156,0,348092.10468041245,617348.8656992789,696160.1854841002,50000.0,20045.16930173673,0.0
26157,0,348825.72998825565,616876.5603398166,695904.2107336826,50000.0,20106.4631495602,0.0
26158,0,349420.07234581094,616476.5646417824,695674.7110382866,50000.0,20200.13166737286,0.0
26159,0,294204.81094862474,637211.7810627364,694344.322316404,50000.0,24402.552891299456,0.0
26160,0,293859.91409343237,637043.3443265066,693884.8877274763,50000.0,24735.53197123288,0.0
26161,0,294002.5181950508,637814.250435138,695095.9495201658,50000.0,24087.99138457678,0.0
26162,0,294347.5940623473,637243.2397949608,694478.1592359754,50000.0,24161.660283488498,0.0
26163,0,294011.56867449277,637057.3574522508,693999.5544036445,50000.0,24584.259489274762,0.0
26164,0,294533.16698157793,637295.393762656,694668.0834275241,50000.0,23774.65562696285,0.0
