,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
5583,0,1483901.883190726,2725855.80836308,2440654.314271252,50000.0,5260.039326982585,0.0
5584,0,1483146.1428309148,2725922.1578263673,2441005.26816728,50000.0,3618.205959676975,0.0
5585,0,1484267.5314205957,2725495.2170462147,2440059.5304783173,50000.0,6740.02277093157,0.0
5586,0,1486204.9349414636,2727071.0395685607,2441420.38773622,50000.0,7655.390912277464,0.0
5587,0,1485124.8985812182,2726129.8561142655,2440580.5803372064,50000.0,7217.731124956064,0.0
5588,0,1484493.450079239,2725664.7102716817,2440199.754031235,50000.0,6853.214734201838,0.0
5589,0,1483324.5639003133,2725884.2687071282,2440893.6064998764,50000.0,4046.751530147314,0.0
5590,0,1484647.3239630177,2725900.7708403645,2440451.3457421847,50000.0,6690.016723136892,0.0
5591,0,1485990.3866276967,2727386.661027925,2441903.946381854,50000.0,6616.922701195465,0.0
5592,0,1486360.6481444414,2727500.6979702213,2441921.8667490873,50000.0,7187.052214339214,0.0
5593,0,1486294.9540093658,2727217.1118147895,2441577.8922458817,50000.0,7571.444059161844,0.0
5594,0,1486351.025699401,2727819.496258477,2442337.8250163896,50000.0,6593.999875956174,0.0
5595,0,1486593.495976143,2728457.56206261,2443078.7847803445,50000.0,6013.558380412644,0.0
5596,0,1486278.5998585345,2727315.011678817,2441710.300295078,50000.0,7355.414816230172,0.0
5597,0,1482914.3305866832,2725942.8589853365,2441113.4385991595,50000.0,3129.40625707527,0.0
5598,0,1484102.4955859222,2725290.767861791,2439852.75783176,50000.0,6827.476410801006,0.0
5599,0,1484113.9736788305,2725820.0604975233,2440533.7155375797,50000.0,5763.319440201268,0.0
5600,0,1484191.462868396,2725803.126211728,2440484.6481811698,50000.0,5955.520443257091,0.0
5601,0,1485453.6159119178,2726374.6000616224,2440782.2031436907,50000.0,7418.544810227866,0.0
5602,0,1486695.8798924058,2728636.638115455,2443274.7217829106,50000.0,5936.967290589907,0.0
5603,0,1484690.927253951,2726054.009509209,2440634.381334433,50000.0,6471.288051181374,0.0
5604,0,1485568.8813013074,2728685.596836909,2443733.505187848,50000.0,3594.40298541,0.0
5605,0,1485487.9894027396,2728539.111989919,2443572.185084823,50000.0,3636.190357882498,0.0
5606,0,1484375.3140290196,2727800.24577647,2443005.9463925725,50000.0,2496.305274902619,0.0
5607,0,1485361.400900144,2728352.0920995953,2443374.413728993,50000.0,3654.1583473591895,0.0
5608,0,1484407.5260582024,2727743.1132128774,2442920.6301884647,50000.0,2657.2438990529754,0.0
5609,0,1485615.6748076065,2728343.992302974,2443274.675400251,50000.0,4183.274557970135,0.0
5610,0,1484033.2465325608,2727309.5412033345,2442490.514415353,50000.0,2637.495293096419,0.0
5611,0,1484888.5008094457,2727715.5624106163,2442716.078690134,50000.0,3708.962589468335,0.0
5612,0,1484378.9747022032,2727128.570100908,2442134.77787394,50000.0,3706.1962350287713,0.0
5613,0,1483820.952031331,2726721.588861536,2441803.613011458,50000.0,3333.17073861882,0.0
5614,0,1486264.4981213138,2729040.4804290663,2443948.9270428787,50000.0,4476.773143590827,0.0
5615,0,1485835.5902496194,2727820.055197281,2442519.1691914885,50000.0,5511.78336279963,0.0
5616,0,1514871.4456533957,2735451.067101707,2442331.004356937,50000.0,19808.6245993216,0.0
5617,0,1514604.0272192764,2735264.2912765564,2442182.0879170075,50000.0,19943.194170058152,0.0
5618,0,1514961.6039066678,2735423.6392024183,2442265.090533086,50000.0,19890.423852038395,0.0
5619,0,1548377.7775465338,2758024.128476242,2459964.5330279833,50000.0,6504.528006623893,0.0
5620,0,1548085.1564160832,2757692.987241124,2459638.5548146414,50000.0,6394.507268006859,0.0
5621,0,1547803.0991317728,2757355.540624378,2459300.9641940277,50000.0,6266.187036873715,0.0
5622,0,1547493.8521430464,2757054.9693823596,2459019.7274555536,50000.0,6282.517683528236,0.0
5623,0,1547323.9420076339,2756609.773012219,2458506.553728271,50000.0,5745.773004744808,0.0
15157,0,1547748.518668265,2755990.78133699,2457571.7790141073,50000.0,3674.7028567918574,0.0
15158,0,1541200.8754272794,2747715.975169709,2449173.9192192075,50000.0,8218.903967082204,0.0
15159,0,1547636.3404599393,2756136.9747489006,2457796.4941531178,50000.0,4185.656069036581,0.0
15160,0,1547983.920882196,2756074.68814699,2457600.378713427,50000.0,3351.169948426992,0.0
15161,0,1548568.8870977296,2757902.9515314284,2459745.24130956,50000.0,5887.27730576403,0.0
15162,0,1548023.7165972658,2757256.7221775753,2459100.430307435,50000.0,5626.753448423403,0.0
15163,0,1547753.624835236,2757028.968308235,2458899.3172548064,50000.0,5706.713836325963,0.0
15164,0,1548576.3712711511,2757534.6897651004,2459271.1378001557,50000.0,5113.53466948338,0.0
15165,0,1548065.4622802818,2757112.3991990723,2458901.621797704,50000.0,5251.0691701573505,0.0
15166,0,1547735.8748684775,2756778.543875067,2458584.5844509345,50000.0,5241.501294842578,0.0
15167,0,1548075.835662359,2756963.379445867,2458707.3287168136,50000.0,4928.878271822335,0.0
15168,0,1548475.4901074278,2757209.347246593,2458888.3587807324,50000.0,4640.437564132928,0.0
15169,0,1548443.3922822098,2757011.0174075947,2458645.1816543564,50000.0,4297.52515942601,0.0
15170,0,1548187.6298719307,2756904.801528996,2458594.8678872413,50000.0,4587.527826560696,0.0
15171,0,1547867.850076257,2756717.750799853,2458462.513741291,50000.0,4853.430940570479,0.0
15172,0,1547624.4015192788,2756389.9426270733,2458124.3647232815,50000.0,4700.903089493435,0.0
