,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.029554896647677218,0.028056467646325425,0.06919861382609985,0.02775364854816465,0.08498303597264757,0.02275467724561125,0.02128306657406893,0.022488599511091077,0.023060379385715774,0.029400109187816645,0.02502150945106858,0.024946390721003516,0.02459716897799758,0.019577904051641823,0.007675602214161674,0.031582556905125535,0.032772869707043066,0.06557586602764205,0.10591026924966035,0.06228784238822451,0.05145508164591983,0.02061540724312719,0.02657925302864285,0.0271124158051563,0.0235668705138375
Steel (chromium),0.04863036769610286,0.04134482685217839,0.09320017314674045,0.041643135484582434,0.15076034643513575,0.06185601788391982,0.06400123418982653,0.07490872369330275,0.038332484087754914,0.05975653138459031,0.04129207870140387,0.0485349091271017,0.038442603871050834,0.03302311569976505,0.02692569956738513,0.06930768151026602,0.06550224652545375,0.11543675682852046,0.06511376440778414,0.010157648113940895,0.11572423764857159,0.03981125368047954,0.043443719097947316,0.0577140510724214,0.025021216056142454
Cast iron,0.02079832201158899,0.006233563963074684,0.02901954082400265,0.006043139962223476,0.0385806451468288,0.014647375951652174,0.010514783748061333,0.009578012745883073,0.010348884620148801,0.02737534490277641,0.008334590028247428,0.008134199887668399,0.008743643293541528,0.007473219285200624,0.0035608033181490453,0.018608232229193205,0.017319383099464184,0.17812947564238743,0.024229198891052867,-0.013352331825575766,0.18138945588347072,0.00785719280973555,0.008059328103225042,0.009352108123665433,0.025037693939956487
Aluminium,0.10594925344838918,0.101588807592714,0.06854275322463253,0.10674710945552332,0.04612740504992688,0.1283190309589961,0.10794429434989065,0.09753681082128149,0.10390547296704708,0.07904426164811648,0.11061591256536575,0.08894906755553326,0.14119089649042252,0.14726624523134307,0.11453180443682112,0.12149419292636425,0.16023901478130037,0.10710012154814906,0.12900270808364828,-0.025892045884196208,0.10403280355407817,0.11151713981559104,0.096893238616168,0.09153004810749313,0.13640981757294104
Copper,0.027650200866829032,0.014742561979965492,0.10305451821906313,0.014835219098173624,0.06293253185853917,0.019149406373682166,0.013113019704298309,0.012495396736568572,0.013599906350415681,0.026527802925508916,0.012668680271301754,0.01234753393556962,0.013936881129537896,0.015531501268861566,0.034363700541043644,0.179953368425313,0.18327570426817896,0.08505215531260392,0.037050129892352096,0.35232411867244384,0.036018886158175806,0.010033947381360379,0.03882551639602046,0.013860390471666095,0.012492315246945733
Fiberglass,0.0124661367340776,0.008597311666041963,0.11526452340022607,0.00846198018826998,0.05835264740594613,0.010897412236600745,0.010921459041579632,0.013544504235665259,0.012474073575529194,0.014813270088927943,0.009467384402886518,0.010642617454080771,0.016693761975686706,0.019759097292117254,0.006088686574592568,0.015218980449808213,0.015153663169018198,0.015601512520776899,0.10196816884156759,0.008382043985425842,0.012030482285195527,0.00775191619226631,0.016093344836864674,0.01260802548488263,0.019714551606251685
HDPE,0.08219568609693796,0.003791822985509404,0.0059819161575957935,0.003662479315808868,0.01753103608232372,0.08675727803845672,0.09755730097650517,0.0036184079892166284,0.004479860079569035,0.10587600726224919,0.004236577341800171,0.005229659185446659,0.004164159140255874,0.004349572482655676,0.0025474151244964326,0.5375590928748701,0.5321650076732992,0.6151567783202277,0.01715210092289417,0.12503874045520236,1.1702076766644762,0.014789753410109597,0.0053955351510799185,0.00557977465578372,0.004316639129252605
PVC,0.01931527709174682,0.003924809538888844,0.00527675120534877,0.0038178431504462427,0.01736719226084972,0.01885561254889779,0.02282005183238808,0.0033940070640201547,0.00416491450852634,0.01577889264893258,0.003939413313089898,0.005058393769828188,0.003383320556347839,0.004085577846036604,0.0025531543133300973,0.08450207691046267,0.07813234090724122,0.25792526908584484,0.01808326904461594,0.1186080314076825,0.13220043422247574,0.006216971803000863,0.005003546366583252,0.005400648694963299,0.00403660012676302
PP,0.019820817132331428,0.0037683542690380026,0.00579343035482897,0.0038796645324770712,0.017506720806552252,0.018380053687949555,0.016987484556446244,0.0034660105053581154,0.00431734316957478,0.014585428132037344,0.005247114042341017,0.007319771897966924,0.0038489270965505213,0.00442817030666612,0.01349962467790294,0.15691036853686263,0.16089453261468475,0.16211146217367248,0.017279323692295633,0.1268910622692426,0.12740226856135223,0.008966423931190907,0.012479757031747647,0.006535975283610984,0.004434991246088541
Epoxy resin,0.12383983169657185,0.22172270946796685,0.4293292908053226,0.22109083794427983,0.4935154772194641,0.12247042040691038,0.13495705000485164,0.154677643848986,0.32513868427541615,0.15577191334565804,0.23241474452748817,0.2231269985087732,0.15005635200327472,0.23188684763019551,0.17146979601401052,0.06779771633647821,0.07034846222353484,0.07189468906355788,0.33772353659544585,0.07322166331140206,0.037760438748838714,0.19991731623153688,0.1661862476486798,0.23296393171104104,0.20727908598064507
